SCA,,SCA Types,,,,,,GCA,,GCA Types,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,
124,Matheus Donelli,br BRA,GK,Corinthians,23-053,2002,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
125,Thiago dos Santos,br BRA,MF,Fluminense,35-307,1989,0.9,2,2.25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
126,David Duarte,br BRA,DF,Bahia,30-166,1995,8.9,6,0.68,6,0,0,0,0,0,0,0,0,0,0,0,0,0,
127,Dudu,br BRA,FW,MF,Cruzeiro,33-183,1992,2.4,4,1.67,2,1,0,0,1,0,0,0,0,0,0,0,0,0
128,Dudu,br BRA,MF,AtlÃ©tico Mineiro,33-183,1992,0.8,2,2.37,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
129,EdenÃ­lson,br BRA,MF,FW,GrÃªmio,35-203,1989,5,11,2.22,8,1,1,1,0,0,0,0,0,0,0,0,0,0
130,Eder,br BRA,DF,CearÃ¡,30-095,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
131,EDU,br BRA,DF,VitÃ³ria,25-023,2000,4.1,4,0.98,3,0,0,1,0,0,1,0.24,0,0,0,1,0,0,
132,Carlos Eduardo,br BRA,MF,FW,Cruzeiro,35-265,1989,2.6,6,2.29,5,0,0,0,1,0,0,0,0,0,0,0,0,0
133,Carlos Eduardo,br BRA,FW,DF,VitÃ³ria,28-272,1996,0.5,1,2.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
134,Alysson Edward,br BRA,FW,MF,GrÃªmio,19-065,2006,3.8,11,2.86,5,0,2,2,2,0,2,0.52,2,0,0,0,0,0
135,Rodrigo Ely,br BRA,DF,GrÃªmio,31-248,1993,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
136,Leandro Emmanuel MartÃ­nez,ar ARG,MF,Fortaleza,31-035,1994,6.7,22,3.26,19,3,0,0,0,0,3,0.44,3,0,0,0,0,0,
137,ÃŠnio,br BRA,FW,MF,Juventude,24-128,2001,5.6,17,3.01,11,1,2,1,2,0,1,0.18,1,0,0,0,0,0
138,Erick,br BRA,MF,DF,Bahia,27-237,1997,4.6,4,0.87,3,0,1,0,0,0,1,0.22,0,0,1,0,0,0
139,Erick,br BRA,FW,MF,VitÃ³ria,27-211,1997,5.3,25,4.72,16,2,3,1,3,0,2,0.38,2,0,0,0,0,0
140,Gonzalo Escobar,ar ARG,DF,Santos,28-115,1997,10.7,28,2.62,19,2,4,1,2,0,0,0,0,0,0,0,0,0,
